,ZIP_CODE,CITY,LONGITUDE,LATITUDE
274,99301,Pasco,-119.09462,46.270249
275,99206,Spokane,-117.25912,47.646994
276,98244,Deming,-122.12547,48.841442
277,98288,Skykomish,-121.41445,47.658047
278,99202,Spokane,-117.37899,47.656692
279,98352,Sumner,-122.113223,47.066193
280,99185,Wilbur,-118.70628,47.756616
281,98208,Everett,-122.19797,47.893451
282,98552,Humptulips,-123.90189,47.355226
283,98377,Randle,-121.85094,46.525156
284,98384,South Colby,-122.539637,47.521803
285,98382,Sequim,-123.09916,48.079979
286,98936,Moxee,-120.33322,46.540842
287,98115,Seattle,-122.30122,47.68382
288,98328,Eatonville,-122.29237,46.884733
289,99322,Bickleton,-120.25547,45.963054
290,98114,Seattle,-121.803388,47.432251
291,98020,Edmonds,-122.37096,47.803668
292,98381,Sekiu,-124.37144,48.283826
293,98844,Oroville,-119.38169,48.9332
294,98929,Goose Prairie,-121.241591,46.915735
295,98366,Port Orchard,-122.59905,47.53587
296,98647,Skamokawa,-123.46828,46.296658
297,98320,Brinnon,-122.92868,47.705616
298,98638,Naselle,-123.76506,46.370075
299,99207,Spokane,-117.38829,47.693741
300,98175,Seattle,-122.33,47.61
301,98227,Bellingham,-121.988548,48.814753
302,98585,Silver Creek,-122.57616,46.528282
303,98105,Seattle,-122.30118,47.66377
304,98587,Taholah,-124.25814,47.32251
305,98424,Tacoma,-122.35916,47.242186
306,99125,Endicott,-117.7293,46.941628
307,98662,Vancouver,-122.57894,45.671806
308,98541,Elma,-123.40713,47.03575
309,99167,Rice,-118.11029,48.406582
310,98166,Seattle,-122.34943,47.458821
311,98522,Adna,-123.298384,46.571323
312,99174,Steptoe,-117.644337,46.838747
313,98332,Gig Harbor,-122.60011,47.364321
314,99031,Spangle,-117.37449,47.432691
315,98058,Renton,-122.14584,47.448322
316,98431,Tacoma,-122.113223,47.066193
317,98032,Kent,-122.25932,47.388254
318,98401,Tacoma,-122.444335,47.253671
319,98849,Riverside,-119.45276,48.528793
320,98464,Tacoma,-122.113223,47.066193
321,98164,Seattle,-122.33186,47.606139
322,98325,Chimacum,-122.78382,47.974586
323,98161,Seattle,-121.803388,47.432251
324,98220,Acme,-122.1977,48.681582
325,98846,Pateros,-119.9395,48.03925
326,98683,Vancouver,-122.51035,45.604075
327,98826,Leavenworth,-120.73874,47.728186
328,98547,Grayland,-124.08111,46.781978
329,98642,Ridgefield,-122.69804,45.795825
330,99323,Burbank,-118.87987,46.191158
331,98050,Preston,-121.931195,47.536015
332,99349,Mattawa,-119.8857,46.726526
333,98828,Malaga,-120.19929,47.333821
334,99332,Hatton,-118.82892,46.776386
335,98537,Cosmopolis,-123.6907,46.899189
336,98239,Coupeville,-122.66723,48.204162
337,98564,Mossyrock,-122.48668,46.50494
338,99139,Ione,-117.4111,48.736168
339,98617,Dallesport,-121.16835,45.632051
340,99402,Asotin,-117.12916,46.230508
341,98071,Auburn,-121.803388,47.432251
342,98249,Freeland,-122.54222,48.029176
343,98408,Tacoma,-122.44498,47.209021
344,98447,Tacoma,-122.113223,47.066193
345,98802,East Wenatchee,-120.25742,47.436898
346,98836,Monitor,-120.41354,47.481133
347,98664,Vancouver,-122.57947,45.62104
348,99320,Benton City,-119.47909,46.263399
349,98010,Black Diamond,-122.01479,47.317802
350,99133,Grand Coulee,-119.00713,47.947097
351,99348,Prescott,-118.44876,46.408852
352,99004,Cheney,-117.60575,47.466974
353,98847,Peshastin,-120.60457,47.552462
354,99251,Spokane,-117.431742,47.653568
355,99212,Spokane,-117.30668,47.668926
356,98358,Nordland,-122.68794,48.058323
357,98829,Malott,-119.73538,48.267188
358,98374,Puyallup,-122.26012,47.140045
359,99360,Touchet,-118.67264,46.059286
360,98007,Bellevue,-122.14104,47.610935
361,98467,University Place,-122.52996,47.203946
362,98002,Auburn,-122.21602,47.304221
363,98226,Bellingham,-122.43597,48.759079
364,98006,Bellevue,-122.1526,47.562975
365,98329,Gig Harbor,-122.7222,47.378121
366,99219,Spokane,-117.431742,47.653568
367,98405,Tacoma,-122.46599,47.248953
368,98107,Seattle,-122.37468,47.66747
369,99006,Deer Park,-117.48145,47.966471
370,99338,Kennewick,-119.23982,46.192356
371,99252,Spokane,-117.431742,47.653568
372,98396,Wilkeson,-122.0451,47.106024
373,99354,Richland,-119.3036548,46.3410986
374,98109,Seattle,-122.34675,47.630648
375,98290,Snohomish,-122.03976,47.930902
376,98650,Trout Lake,-121.5395,45.981582
377,99346,Plymouth,-119.35637,45.960734
378,98637,Nahcotta,-123.76903,46.514625
379,98386,Southworth,-122.499139,47.51037
380,98635,Lyle,-121.19784,45.726451
381,98138,Seattle,-121.803388,47.432251
382,98110,Bainbridge Island,-122.53508,47.65526
383,98351,Longbranch,-122.77537,47.200168
384,98817,Chelan Falls,-119.98921,47.79955
385,99014,Four Lakes,-117.595751,47.55988
386,98816,Chelan,-120.08379,47.880774
387,98012,Bothell,-122.20457,47.84311
388,98562,Moclips,-124.20789,47.254009
389,98089,Kent,-122.230032,47.380214
390,98853,Stratford,-119.28312,47.417461
391,98373,Puyallup,-122.31864,47.147862
392,98310,Bremerton,-122.62371,47.58675
393,99117,Creston,-118.49343,47.757764
394,99026,Nine Mile Falls,-117.59325,47.801194
395,98009,Bellevue,-121.803388,47.432251
396,98815,Cashmere,-120.48966,47.522546
397,99126,Evans,-117.97348,48.733324
398,98346,Kingston,-122.51962,47.807359
399,98331,Forks,-124.35888,47.838423
400,99356,Roosevelt,-120.28372,45.816528
401,99111,Colfax,-117.4092,46.875136
402,98571,Pacific Beach,-124.1974,47.216861
403,99327,Cunningham,-118.829153,46.828931
404,98444,Tacoma,-122.4485,47.153571
405,98858,Waterville,-119.90423,47.63205
406,98952,White Swan,-120.7144,46.377579
407,98380,Seabeck,-122.89456,47.596122
408,98494,Tacoma,-122.113223,47.066193
409,98064,Kent,-121.803388,47.432251
410,98944,Sunnyside,-119.99,46.342102
411,98850,Rock Island,-120.11338,47.360902
412,99017,Lamont,-117.85558,47.197445
413,98028,Kenmore,-122.24736,47.75287
414,99152,Metaline,-117.39106,48.858688
415,98591,Toledo,-122.80083,46.433226
416,98045,North Bend,-121.73254,47.483057
417,98181,Seattle,-121.803388,47.432251
418,98430,Camp Murray,-122.113223,47.066193
419,98841,Omak,-119.39066,48.403174
420,98074,Sammamish,-122.045347,47.625364
421,98383,Silverdale,-122.69055,47.667257
422,98185,Seattle,-121.803388,47.432251
423,98292,Stanwood,-122.38961,48.222046
424,98371,Puyallup,-122.31577,47.196272
425,99144,Lamona,-118.399551,47.60894
426,98923,Cowiche,-120.71558,46.662006
427,98104,Seattle,-122.32855,47.60252
428,98582,Salkum,-122.62556,46.513653
429,98293,Startup,-121.76849,47.870275
430,98505,Olympia,-122.976187,47.065404
431,98812,Brewster,-119.75203,48.112268
432,99121,Danville,-118.51457,48.977629
433,98229,Bellingham,-122.435478,48.725417
434,98284,Sedro Woolley,-122.16545,48.518653
435,98237,Concrete,-121.70018,48.497601
436,99138,Inchelium,-118.2979,48.207661
437,98509,Lacey,-122.702393,46.978118
438,98388,Steilacoom,-122.6005,47.164965
439,98631,Long Beach,-124.05022,46.365773
440,98031,Kent,-122.19644,47.388461
441,98122,Seattle,-122.30406,47.61157
442,98580,Roy,-122.48754,46.954282
443,98278,Oak Harbor,-122.655862,48.310127
444,98246,Bow,-121.417034,48.558127
445,99321,Beverly,-119.93088,46.834349
446,98146,Seattle,-122.35688,47.501753
447,98607,Camas,-122.40547,45.60916
448,99345,Paterson,-119.67687,45.922025
449,99023,Mica,-117.18352,47.554592
450,98370,Poulsbo,-122.63041,47.743302
451,99173,Springdale,-117.79563,48.030848
452,98530,Bucoda,-122.85123,46.797382
453,98356,Morton,-122.29514,46.562676
454,99143,Lacrosse,-117.91313,46.792982
455,98935,Mabton,-120.02966,46.177732
456,98938,Outlook,-120.09871,46.364164
457,98001,Auburn,-122.26608,47.303722
458,99005,Colbert,-117.37274,47.844289
459,98623,Husum,-121.487682,45.807631
460,98925,Easton,-121.24849,47.3042
461,98035,Kent,-121.803388,47.432251
462,98575,Quinault,-123.81031,47.489864
463,98367,Port Orchard,-122.66335,47.470971
464,99328,Dayton,-117.96887,46.319087
465,98041,Bothell,-121.803388,47.432251
466,99148,Loon Lake,-117.6013,48.102048
467,98337,Bremerton,-122.63479,47.569167
468,98526,Amanda Park,-124.02938,47.463965
469,98348,La Grande,-122.113223,47.066193
470,98524,Allyn,-122.8388,47.374343
471,99224,Spokane,-117.49326,47.632573
472,98412,Tacoma,-122.113223,47.066193
473,98653,Lyle,-121.286091,45.694098
474,99352,Richland,-119.28137,46.279657
475,98417,Tacoma,-122.4881526,47.2724095
476,98407,Tacoma,-122.50433,47.28392
477,99015,Freeman,-117.431742,47.653568
478,98392,Suquamish,-122.55751,47.735065
479,98611,Castle Rock,-122.8987,46.308371
480,98355,Mineral,-122.0348,46.711036
481,99110,Clayton,-117.57306,48.012084
482,99022,Medical Lake,-117.68812,47.583754
483,98572,Pe Ell,-123.30578,46.569107
484,98933,Harrah,-120.62421,46.406875
485,98493,Tacoma,-122.113223,47.066193
486,98144,Seattle,-122.30081,47.58577
487,98397,Longmire,-122.113223,47.066193
488,98258,Lake Stevens,-122.06327,48.028355
489,99218,Spokane,-117.4124,47.751674
490,98273,Mount Vernon,-122.35196,48.414576
491,98581,Ryderwood,-123.05308,46.373347
492,99130,Garfield,-117.19597,46.983768
493,98902,Yakima,-120.53102,46.595248
494,98576,Rainier,-122.67573,46.871178
495,98111,Seattle,-121.803388,47.432251
496,99204,Spokane,-117.43174,47.648941
497,98531,Centralia,-122.95142,46.728383
498,98448,Parkland,-122.422431,47.136544
499,98503,Lacey,-122.80359,47.027082
500,98859,Wauconda,-118.93303,48.810894
501,99160,Orient,-118.20557,48.86407
502,98194,Seattle,-122.33,47.61
503,98504,Olympia,-122.702393,46.978118
504,99034,Tumtum,-117.74582,47.858074
505,99131,Gifford,-118.09326,48.290089
506,99159,Odessa,-118.70235,47.338736
507,98909,Yakima,-120.794978,46.637538
508,98305,Beaver,-124.30909,48.066605
509,98446,Tacoma,-122.37589,47.1309
510,98583,Satsop,-123.483596,47.002178
511,98013,Burton,-121.803388,47.432251
512,98213,Everett,-122.2,47.9799999
513,98535,Copalis Beach,-124.16027,47.118566
514,98311,Bremerton,-122.63493,47.629717
515,99171,Saint John,-117.63938,47.11653
516,98021,Bothell,-122.22021,47.790653
517,98409,Tacoma,-122.48053,47.208987
518,98528,Belfair,-122.88417,47.445292
519,98139,Seattle,-122.330043,47.610199
520,99214,Spokane,-117.431742,47.653568
521,98548,Hoodsport,-123.21175,47.446725
522,98403,Tacoma,-122.45879,47.263971
523,98125,Seattle,-122.30308,47.716648
524,98443,Tacoma,-122.37678,47.202874
525,98015,Bellevue,-121.803388,47.432251
526,98814,Carlton,-120.12065,48.231421
527,98315,Silverdale,-122.71309,47.720777
528,98648,Stevenson,-121.91332,45.669604
529,98046,Lynnwood,-121.682271,48.037258
530,98350,La Push,-124.62202,47.905815
531,98628,Klickitat,-121.09804,45.82786
532,98855,Tonasket,-119.32169,48.689509
533,99260,Spokane,-117.431742,47.653568
534,98272,Monroe,-121.93734,47.860245
535,99033,Tekoa,-117.08133,47.222328
536,98604,Battle Ground,-122.51789,45.791345
537,98640,Ocean Park,-124.04801,46.501781
538,98833,Mazama,-120.47681,48.634796
539,98087,Lynnwood,-122.270947,47.860152
540,98507,Olympia,-122.702393,46.978118
541,98362,Port Angeles,-123.40628,48.097144
542,99170,Rosalia,-117.37365,47.240334
543,99147,Lincoln,-118.399551,47.60894
544,99181,Valley,-117.74564,48.144634
545,98375,Puyallup,-122.32247,47.112477
546,98516,Olympia,-122.78376,47.085046
547,98336,Glenoma,-122.11766,46.53619
548,98259,North Lakewood,-121.682271,48.037258
549,99220,Spokane,-117.431742,47.653568
