,zip,city,x,y
332,99349,Mattawa,44,0
333,98828,Malaga,36,6
334,99332,Hatton,58,3
335,98537,Cosmopolis,-76,0
336,98239,Coupeville,-52,66
337,98564,Mossyrock,-34,-27
338,99139,Ione,68,48
339,98617,Dallesport,-18,-45
340,99402,Asotin,78,-15
341,98071,Auburn,0,6
342,98249,Freeland,-46,63
343,98408,Tacoma,-38,-27
344,98447,Tacoma,-20,-6
345,98802,East Wenatchee,34,9
346,98836,Monitor,30,9
347,98664,Vancouver,-26,-81
348,99320,Benton City,32,-18
349,98010,Black Diamond,-18,-3
350,99133,Grand Coulee,58,21
351,99348,Prescott,64,0
352,99004,Cheney,80,6
353,98847,Peshastin,24,12
354,99251,Spokane,96,0
355,99212,Spokane,102,9
356,98358,Nordland,-50,63
357,98829,Malott,42,21
358,98374,Puyallup,-38,-9
359,99360,Touchet,50,-21
360,98007,Bellevue,-26,21
361,98467,University Place,-50,-21
362,98002,Auburn,-24,-6
363,98226,Bellingham,-30,81
364,98006,Bellevue,-26,15
365,98329,Gig Harbor,-52,12
366,99219,Spokane,100,0
367,98405,Tacoma,-42,-15
368,98107,Seattle,-42,21
369,99006,Deer Park,86,15
370,99338,Kennewick,40,-18
371,99252,Spokane,90,3
372,98396,Wilkeson,-16,-12
373,99354,Richland,36,-12
374,98109,Seattle,-34,33
375,98290,Snohomish,-16,42
376,98650,Trout Lake,-20,-30
377,99346,Plymouth,34,-21
378,98637,Nahcotta,-96,-48
379,98386,Southworth,-38,-3
380,98635,Lyle,-20,-42
381,98138,Seattle,4,6
382,98110,Bainbridge Island,-40,6
383,98351,Longbranch,-54,3
384,98817,Chelan Falls,32,12
385,99014,Four Lakes,82,9
386,98816,Chelan,34,15
387,98012,Bothell,-28,42
388,98562,Moclips,-86,15
389,98089,Kent,-24,6
390,98853,Stratford,50,9
391,98373,Puyallup,-40,-6
392,98310,Bremerton,-46,9
393,99117,Creston,60,18
394,99026,Nine Mile Falls,82,15
395,98009,Bellevue,-4,6
396,98815,Cashmere,28,12
397,99126,Evans,64,42
398,98346,Kingston,-38,15
399,98331,Forks,-78,9
400,99356,Roosevelt,18,-15
401,99111,Colfax,82,-3
402,98571,Pacific Beach,-84,12
403,99327,Cunningham,56,6
404,98444,Tacoma,-50,3
405,98858,Waterville,36,12
406,98952,White Swan,28,-12
407,98380,Seabeck,-60,18
408,98494,Tacoma,-10,-21
409,98064,Kent,8,0
410,98944,Sunnyside,26,-15
411,98850,Rock Island,38,9
412,99017,Lamont,74,9
413,98028,Kenmore,-34,39
414,99152,Metaline,70,51
415,98591,Toledo,-34,-33
416,98045,North Bend,14,15
417,98181,Seattle,10,9
418,98430,Camp Murray,-16,-24
419,98841,Omak,48,24
420,98074,Sammamish,-22,21
421,98383,Silverdale,-54,21
422,98185,Seattle,8,6
423,98292,Stanwood,-44,72
424,98371,Puyallup,-34,-3
425,99144,Lamona,64,12
426,98923,Cowiche,28,-6
427,98104,Seattle,-40,24
428,98582,Salkum,-40,-24
429,98293,Startup,-12,36
430,98505,Olympia,-74,-15
431,98812,Brewster,40,18
432,99121,Danville,56,36
433,98229,Bellingham,-34,81
434,98284,Sedro Woolley,-36,84
435,98237,Concrete,-6,57
436,99138,Inchelium,66,33
437,98509,Lacey,-64,-24
438,98388,Steilacoom,-56,-24
439,98631,Long Beach,-108,-54
440,98031,Kent,-22,3
441,98122,Seattle,-38,27
442,98580,Roy,-50,-3
443,98278,Oak Harbor,-52,72
444,98246,Bow,0,60
445,99321,Beverly,38,3
446,98146,Seattle,-30,21
447,98607,Camas,-18,-81
448,99345,Paterson,32,-24
449,99023,Mica,112,0
450,98370,Poulsbo,-36,12
451,99173,Springdale,78,21
452,98530,Bucoda,-72,-30
453,98356,Morton,-28,-24
454,99143,Lacrosse,72,6
455,98935,Mabton,24,-18
456,98938,Outlook,24,-12
457,98001,Auburn,-26,-9
458,99005,Colbert,90,15
459,98623,Husum,-16,-30
460,98925,Easton,18,9
461,98035,Kent,-4,0
462,98575,Quinault,-70,9
463,98367,Port Orchard,-44,12
464,99328,Dayton,56,-18
465,98041,Bothell,12,0
466,99148,Loon Lake,82,21
467,98337,Bremerton,-48,12
468,98526,Amanda Park,-76,6
469,98348,La Grande,-10,-15
470,98524,Allyn,-56,12
471,99224,Spokane,86,9
472,98412,Tacoma,-12,-6
473,98653,Lyle,-22,-39
474,99352,Richland,38,-15
475,98417,Tacoma,-46,-9
476,98407,Tacoma,-48,-6
477,99015,Freeman,88,0
478,98392,Suquamish,-42,15
479,98611,Castle Rock,-38,-39
480,98355,Mineral,-26,-27
481,99110,Clayton,84,18
482,99022,Medical Lake,78,9
483,98572,Pe Ell,-88,-42
484,98933,Harrah,30,-15
485,98493,Tacoma,-32,12
486,98144,Seattle,-36,24
487,98397,Longmire,-28,0
488,98258,Lake Stevens,-30,69
489,99218,Spokane,92,12
490,98273,Mount Vernon,-40,72
491,98581,Ryderwood,-70,-45
492,99130,Garfield,88,-6
493,98902,Yakima,32,-6
494,98576,Rainier,-58,-33
495,98111,Seattle,12,-6
496,99204,Spokane,92,0
497,98531,Centralia,-74,-33
498,98448,Parkland,-48,0
499,98503,Lacey,-68,-18
500,98859,Wauconda,50,33
501,99160,Orient,60,30
502,98194,Seattle,-46,27
503,98504,Olympia,-60,-30
504,99034,Tumtum,78,15
505,99131,Gifford,70,39
